TYPE_NAME=Occa_Occasion_Fixed;KEYS=name
Date_Occasion;name;Occasion_Type;Annual
"08.09.2014";"День финансиста";"1";true
"04.10.2014";"День гражданской обороны МЧС России";"1";true
"06.10.2014";"День российского страховщика";"1";true
"25.10.2014";"День таможенника РФ";"1";true
"01.11.2014";"День судебного пристава";"1";true
"10.11.2014";"День сотрудника органов внутренних дел РФ";"1";true
"21.11.2014";"День работников налоговых органов РФ";"1";true
"22.12.2014";"День Энергетика";"1";true
"23.02.2014";"День Защитника Отечества";"1";true
"08.03.2014";"Международный женский день";"1";true
"25.03.2014";"День работника культуры";"1";true
"30.09.2014";"День Святых Веры, Надежды, Любви";"1";true
"04.11.2014";"День народного единства";"1";true
"28.12.2014";"Международный день кино";"1";true
"27.08.2014";"День российского кино";"1";true

